chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label
0.39649352,0.98250496,0.24861817,0.10037066,0.28685382,0.14668332,0.036671553,0.057625797,0.1484498,0.2599897,0.118385464,0.16850722,A
0.16237067,0.27390993,0.12563223,0.2749198,0.83870095,0.22267468,0.12572102,0.22120312,0.4162856,0.5960813,0.30145067,0.28688323,A
0.0036945755,0.0046986947,0.0036943096,0.022207698,0.116807036,0.018472644,0.0035770184,0.006932572,0.15396631,1.0,0.15539385,0.003954965,A
0.05847377,0.1281709,0.03748966,0.19320689,0.75509125,0.1763345,0.013367438,0.020207234,0.19839312,0.67733836,0.13811888,0.0668943,A
0.050245065,0.15757008,0.04387569,0.12031,0.4665952,0.11231745,0.009520915,0.014398333,0.22109598,0.95733255,0.18792559,0.057475682,A
0.008292911,0.020174038,0.018880246,0.101399586,0.44994143,0.07706232,0.0064586173,0.013192509,0.2037764,0.8694575,0.16895223,0.007270298,A
0.061878365,0.16349067,0.049483888,0.110321656,0.44400185,0.10562887,0.008337828,0.01289873,0.21300294,0.8908503,0.18198077,0.12640455,A
0.18466893,0.3373956,0.18411705,0.13503206,0.30744466,0.17518076,0.09576781,0.12081462,0.36277935,0.95816576,0.58430517,0.2643586,A
0.2851948,0.8293501,0.15341724,0.17856567,0.58790493,0.15380788,0.031640545,0.054416966,0.21417873,0.5164615,0.15619749,0.20631531,A
0.0246259,0.0388784,0.015999913,0.040898826,0.13624538,0.026490098,0.0050378693,0.0062253946,0.16223742,0.95697606,0.18691307,0.025871271,A
0.2739667,0.76217675,0.1360351,0.21271646,0.69884926,0.16416317,0.019321008,0.04488039,0.23368059,0.546838,0.15319052,0.2175965,A
0.18861122,0.4182286,0.14419018,0.30784932,0.9454726,0.20858566,0.018211216,0.031746443,0.12814154,0.3504378,0.17435694,0.3707829,A
0.005776093,0.016359268,0.003757403,0.055497583,0.28453335,0.043444928,0.0011654476,0.0037559194,0.16871928,1.0,0.16664071,0.004667849,A
0.1650115,0.28745493,0.13833557,0.3127748,0.93492657,0.2146232,0.021645362,0.026696296,0.0892338,0.19957869,0.13980746,0.37032676,A
0.052781697,0.19542119,0.04172811,0.07593297,0.35089174,0.06714219,0.010481582,0.015026259,0.20861962,0.94752574,0.18264462,0.0146126775,A
0.08073033,0.17629398,0.047028977,0.14063415,0.5462653,0.14127426,0.02044584,0.026649686,0.23859781,0.86198044,0.18260385,0.12513942,A
0.03164571,0.06391622,0.028371314,0.11591073,0.44731078,0.11319146,0.0144236935,0.015091205,0.22921546,0.9859853,0.19360043,0.07313038,A
0.01401134,0.062231403,0.01267997,0.029656757,0.14564814,0.022208927,0.0007174501,0.0030481003,0.1720277,1.0,0.16374804,0.0037116394,A
0.0055853687,0.022852639,0.007364593,0.04871654,0.21700418,0.034513623,0.0011402031,0.0033252712,0.17097998,0.9876316,0.15986992,0.003848687,A
0.009222264,0.016280638,0.008702294,0.018540096,0.061801016,0.020104522,0.005565076,0.005069186,0.16338186,0.9944711,0.17463513,0.010236588,A
0.0030353137,0.0040030326,0.0028368202,0.03642247,0.17920023,0.026968395,0.00080965983,0.0028620781,0.16787782,1.0,0.16571006,0.005943924,A
0.020498583,0.07003762,0.02535967,0.089328855,0.42877635,0.06898397,0.003714743,0.008411663,0.18744163,0.8467331,0.16129339,0.0069676926,A
0.0068950807,0.008980201,0.012587735,0.028676601,0.09045259,0.021935422,0.008982389,0.013143701,0.16717629,1.0,0.16937526,0.01314981,A
0.015542305,0.01846919,0.011461289,0.092931606,0.43674064,0.15885375,0.02675088,0.06795507,0.3467238,1.0,0.5352418,0.06289227,A
0.019938976,0.036111966,0.0146524655,0.035501145,0.12799105,0.028032176,0.00564451,0.009704989,0.19272615,0.99971676,0.16047873,0.008756323,A
0.007963052,0.03407369,0.011136629,0.06566996,0.26065323,0.042992014,0.001881371,0.0035401534,0.16793579,0.94954866,0.15369149,0.0031418852,A
0.024482138,0.11680312,0.023556178,0.09953009,0.56987435,0.08024732,0.0059367074,0.009830495,0.14420556,0.8831532,0.1478156,0.008803363,A
0.20029418,0.40152243,0.19420439,0.18795444,0.6574038,0.2886485,0.083999716,0.1189181,0.37892044,0.98442376,0.5702569,0.23501185,A
